                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.86381,                0.56106,                 1.0943,                0.45654,                0.26525,                0.24083,                0.08298,                 2.8247,                 2.4655,                 2.4494,             0.00058017,             0.00058017,             0.00058017
                     92,                 0.8972,                 0.5738,                 1.0969,                0.40019,                0.30365,                0.22848,                  0.075,                 2.8657,                 2.3637,                 2.5757,             0.00057074,             0.00057074,             0.00057074
                     93,                 0.8562,                0.55194,                 1.0968,                0.39439,                0.27113,                0.21916,                 0.0713,                 2.8825,                  2.432,                 2.5153,             0.00056131,             0.00056131,             0.00056131
                     94,                0.86257,                0.55466,                 1.0944,                0.35004,                0.27455,                0.19878,                 0.0644,                 2.9367,                 2.5476,                 2.6284,             0.00055188,             0.00055188,             0.00055188
                     95,                0.85778,                0.55116,                 1.0952,                0.35456,                0.28881,                0.21103,                0.06556,                 2.9127,                 2.4089,                 2.5689,             0.00054245,             0.00054245,             0.00054245
                     96,                0.85028,                0.55547,                 1.0877,                0.39095,                0.26233,                0.19646,                0.06211,                 2.9192,                 2.4909,                 2.5622,             0.00053302,             0.00053302,             0.00053302
                     97,                0.84645,                0.55095,                 1.0813,                0.41509,                0.25113,                0.21224,                0.06973,                 2.9279,                 2.5011,                 2.5712,             0.00052359,             0.00052359,             0.00052359
                     98,                0.83718,                0.55151,                 1.0786,                0.39733,                0.24363,                0.20773,                0.06683,                 2.9249,                 2.4534,                 2.5803,             0.00051415,             0.00051415,             0.00051415
                     99,                0.83621,                0.54251,                 1.0833,                0.39217,                0.29032,                0.23663,                0.07766,                 2.7834,                 2.5105,                 2.4283,             0.00050472,             0.00050472,             0.00050472
                    100,                 0.8219,                0.52426,                 1.0718,                0.43703,                0.29242,                0.24357,                0.07861,                 2.8234,                 2.3745,                 2.5352,             0.00049529,             0.00049529,             0.00049529
                    101,                0.80442,                0.51662,                 1.0661,                0.35586,                0.28177,                0.20362,                 0.0644,                 2.9149,                 2.5442,                 2.5797,             0.00048586,             0.00048586,             0.00048586
                    102,                0.81591,                0.51109,                 1.0721,                 0.3646,                0.27018,                 0.2208,                0.07611,                 2.8509,                 2.5484,                 2.5202,             0.00047643,             0.00047643,             0.00047643
                    103,                 0.8014,                0.50179,                 1.0469,                0.36331,                0.26819,                  0.205,                0.06392,                 2.9417,                 2.5349,                 2.6338,               0.000467,               0.000467,               0.000467
                    104,                0.80109,                0.50327,                 1.0597,                0.38135,                0.29969,                 0.2308,                0.07524,                 2.8561,                 2.4491,                 2.5411,             0.00045757,             0.00045757,             0.00045757
                    105,                0.79323,                0.49102,                 1.0537,                0.36745,                0.27777,                0.20977,                0.06708,                 2.9083,                  2.589,                 2.6039,             0.00044813,             0.00044813,             0.00044813
                    106,                0.78252,                0.48705,                 1.0469,                0.40267,                0.24435,                0.20703,                0.06705,                 2.8784,                 2.6299,                  2.558,              0.0004387,              0.0004387,              0.0004387
                    107,                0.77223,                0.48245,                 1.0387,                0.39433,                0.27641,                 0.2269,                0.07573,                 2.8834,                 2.5428,                 2.6072,             0.00042927,             0.00042927,             0.00042927
                    108,                0.78338,                0.49327,                 1.0496,                0.38109,                0.26101,                0.20981,                0.06787,                 2.9282,                 2.5911,                  2.588,             0.00041984,             0.00041984,             0.00041984
                    109,                0.77713,                0.49395,                 1.0404,                0.37679,                0.25372,                0.20591,                0.06662,                   2.94,                 2.6143,                 2.6292,             0.00041041,             0.00041041,             0.00041041
                    110,                0.74824,                0.47265,                 1.0279,                0.35674,                0.27976,                0.22066,                0.07578,                 2.8698,                  2.562,                   2.57,             0.00040098,             0.00040098,             0.00040098
                    111,                0.74949,                0.46425,                 1.0267,                0.36981,                0.26688,                0.21839,                0.07022,                 2.9048,                 2.5531,                  2.638,             0.00039155,             0.00039155,             0.00039155
                    112,                 0.7535,                0.47133,                 1.0325,                0.38913,                0.26386,                0.21002,                0.06779,                 2.9339,                 2.5613,                  2.708,             0.00038211,             0.00038211,             0.00038211
                    113,                0.72961,                0.45447,                 1.0286,                0.39414,                0.25981,                0.21292,                0.06822,                 2.9392,                 2.6184,                 2.7031,             0.00037268,             0.00037268,             0.00037268
                    114,                0.74999,                 0.4654,                 1.0357,                0.38369,                0.28775,                 0.2281,                 0.0745,                 2.8975,                 2.5558,                 2.6824,             0.00036325,             0.00036325,             0.00036325
                    115,                0.72971,                0.45439,                 1.0156,                0.40729,                0.25979,                 0.2204,                0.07418,                 2.9257,                  2.641,                 2.6763,             0.00035382,             0.00035382,             0.00035382
                    116,                0.71511,                  0.456,                  1.013,                  0.376,                0.24518,                0.21162,                 0.0703,                   2.96,                 2.6906,                 2.7334,             0.00034439,             0.00034439,             0.00034439
                    117,                0.73057,                0.46304,                 1.0228,                 0.3528,                0.28677,                0.21401,                0.06999,                 2.9143,                 2.6205,                 2.6926,             0.00033496,             0.00033496,             0.00033496
                    118,                0.71527,                0.44955,                 1.0105,                0.39474,                0.27254,                0.23107,                0.07753,                 2.8906,                 2.6117,                 2.6737,             0.00032553,             0.00032553,             0.00032553
                    119,                0.72231,                0.44949,                  1.027,                0.39564,                0.25507,                0.21049,                 0.0693,                 2.9363,                 2.6852,                 2.7179,             0.00031609,             0.00031609,             0.00031609
                    120,                0.69729,                0.44018,                  1.008,                 0.3986,                0.28437,                0.22145,                0.07532,                 2.8802,                 2.6035,                  2.626,             0.00030666,             0.00030666,             0.00030666
                    121,                0.71412,                0.44283,                 1.0086,                0.42648,                  0.269,                0.23167,                0.07644,                 2.9077,                 2.6215,                 2.6774,             0.00029723,             0.00029723,             0.00029723
                    122,                0.69827,                0.43872,                 1.0126,                0.38617,                0.27377,                0.22356,                0.07128,                 2.9455,                 2.7158,                  2.702,              0.0002878,              0.0002878,              0.0002878
                    123,                0.70184,                0.43757,                 1.0065,                0.39185,                0.25044,                0.21172,                0.06703,                 2.9774,                 2.6944,                 2.7734,             0.00027837,             0.00027837,             0.00027837
                    124,                0.68847,                0.42805,                 1.0031,                0.39203,                0.25994,                 0.2137,                0.06789,                 2.9337,                 2.6751,                 2.7061,             0.00026894,             0.00026894,             0.00026894
                    125,                0.67772,                0.42542,                 1.0026,                0.40418,                0.26696,                0.22027,                0.07067,                 2.9162,                 2.6039,                 2.7422,             0.00025951,             0.00025951,             0.00025951
                    126,                0.68117,                0.42473,                      1,                0.40722,                0.25428,                0.21049,                0.06865,                 2.9471,                 2.6864,                  2.755,             0.00025007,             0.00025007,             0.00025007
                    127,                0.67042,                 0.4124,                0.99036,                0.37318,                0.25372,                0.19502,                0.06387,                 2.9557,                 2.7042,                 2.7508,             0.00024064,             0.00024064,             0.00024064
                    128,                0.67902,                0.42772,                0.99069,                0.41017,                0.26032,                 0.2104,                0.06853,                 2.9482,                 2.6787,                 2.7669,             0.00023121,             0.00023121,             0.00023121
                    129,                0.67599,                0.42305,                0.99787,                  0.378,                0.27904,                0.21324,                0.06882,                 2.9541,                 2.6421,                 2.7677,             0.00022178,             0.00022178,             0.00022178
                    130,                0.66758,                0.41166,                0.98822,                0.38622,                0.26164,                0.20776,                0.06775,                 2.9604,                 2.7364,                 2.7559,             0.00021235,             0.00021235,             0.00021235
                    131,                0.66544,                0.40796,                0.98981,                0.36965,                0.25923,                0.20401,                0.06488,                  3.003,                 2.7591,                 2.8125,             0.00020292,             0.00020292,             0.00020292
                    132,                0.65809,                0.41021,                 0.9847,                0.35485,                0.26703,                0.20746,                0.06674,                 2.9705,                 2.7065,                 2.7868,             0.00019349,             0.00019349,             0.00019349
                    133,                0.64261,                0.39984,                0.97778,                0.42844,                0.25234,                0.21838,                0.07109,                 2.9266,                 2.6792,                 2.7568,             0.00018406,             0.00018406,             0.00018406
                    134,                0.64701,                0.39755,                0.98249,                0.36724,                0.27108,                0.21646,                0.06993,                 2.9425,                 2.7555,                  2.766,             0.00017462,             0.00017462,             0.00017462
